InstrumentID,Date,Location,Gender,Time,Res1,Res2,Status,Officer
149606,12/31/15,AMES PD,M,1:41 AM,0.114,0.115,,"SPOON, STEVE"
149606,12/30/15,AMES PD,F,10:42 AM,0.309,0.308,,"CONGDON, JOEL"
149606,12/30/15,AMES POLICE DEPARTMENT,M,3:20 AM,0.204,0.203,,"ACCOLA, DEREK G"
149606,12/30/15,AMES POLICE DEPARTMENT,M,3:13 AM,Incomplete,,,"ACCOLA, DEREK G"
149606,12/29/15,AMES PD,M,11:10 PM,0.158,0.158,,"JUNIOR, VINCENT"
100199,12/27/15,STORY COUNTY JAIL,F,6:13 AM,0.108,0.107,,"LOPEZ, R"
100199,12/27/15,STORY COUNTY SHERIFF'S OFFICE,M,12:51 AM,0.129,0.128,,"CIZMAIDA, JOSH C"
149606,12/22/15,AMES PD,M,7:25 PM,0.15,0.15,,"JUNIOR, VINCENT"
100199,12/22/15,STORY COUNTY SHERIFF'S OFFICE,F,12:44 AM,0.13,0.129,,"SPRINGER, KELLI J"
149606,12/21/15,AMES PD,M,6:13 PM,0.154,0.154,,"CHRISTIAN, AMBER"
149606,12/21/15,AMES PD,M,6:08 PM,,,Standard Out of Range,"CHRISTIAN, AMBER"
149606,12/21/15,AMES PD,M,2:22 AM,0.166,0.165,,"ACCOLA, DEREK"
100199,12/20/15,STORY COUNTY SHERIFF'S OFFICE,M,8:08 AM,0.103,0.102,,"SCHMITZ, JAMIE R"
100199,12/19/15,STORY COUNTY SHERIFF'S OFFICE,M,12:51 AM,0.189,0.188,,"BOECKMAN, ANDREW J"
100203,12/17/15,ISU - POLICE DIVISION,M,1:52 AM,0.115,0.114,,"VARNER, KEITH D"
100199,12/13/15,STORY COUNTY SHERIFF'S OFFICE,M,4:01 AM,0.115,0.114,,"SINK, BRETT R"
149606,12/13/15,AMES POLICE DEPARTMENT,M,2:43 AM,0.143,0.144,,"PHANCHANTRAURAI, DILOK"
149606,12/13/15,AMES POLICE DEPARTMENT,M,2:22 AM,Invalid,,,"PHANCHANTRAURAI, DILOK"
100199,12/12/15,STORY COUNTY SHERIFF'S OFFICE,M,3:41 AM,Refused,,,"SINK, BRETT R"
100199,12/12/15,STORY COUNTY SHERIFF'S OFFICE,M,2:23 AM,0.071,0.07,,"BRANDES, CHRISTOPHER R"
100199,12/11/15,STORY COUNTY SHERIFF'S OFFICE,M,3:51 AM,0.141,0.14,,"SINK, BRETT R"
