InstrumentID,Date,Location,Gender,Time,Res1,Res2,Status,Officer
149606,12/30/16,AMES PD,M,9:25 PM,0.108,0.107,,"HAUGE, RYAN"
100203,12/26/16,ISU PD,M,3:00 AM,0.185,0.184,,"MOOERS, COBY"
100212,12/22/16,HUXLEY POLICE DEPARTMENT,M,6:18 AM,0.146,0.145,,"ALBAUGH, NATHAN S"
100203,12/20/16,ISU PD,M,1:07 AM,0.003,0.005,,"MOOERS, COBY"
100199,12/19/16,STORY COUNTY SHERIFF'S OFFICE,M,4:17 PM,0.175,0.174,,"GRUBBS, JASN D"
100199,12/19/16,STORY COUNTY SHERIFF'S OFFICE,M,4:11 PM,,,Blank Error,"GRUBBS, JASN D"
100199,12/18/16,STORY CO SO,M,2:05 AM,0.064,0.063,,"BEAN, SETH"
149606,12/17/16,AMES PD,M,4:28 AM,0.092,0.091,,"JOHNSEN, DON"
100203,12/16/16,ISU - POLICE DIVISION,M,2:46 AM,0.129,0.129,,"GREENE, NATASHSA D"
100199,12/16/16,STORY COUNTY SHERIFF'S OFFICE,F,1:47 AM,0.179,0.179,,"SCHULTZ, KYLE D"
100199,12/13/16,STORY CO SO,M,1:58 PM,0,0,,"MASSARO, MATTHEW"
100199,12/11/16,STORY COUNTY SHERIFF'S OFFICE,M,12:27 AM,0.216,0.216,,"SINK, BRETT R"
149606,12/8/16,AMES PD,M,10:26 PM,0.157,0.157,,"JUNIOR, VINCENT"
149606,12/8/16,AMES PD,F,6:14 PM,0.1,0.1,,"KRUGER, KURT"
149606,12/7/16,AMES PD,M,2:59 AM,0.218,0.217,,"EATON, JASON"
100199,12/3/16,STORY COUNTY SHERIFF'S OFFICE,M,9:07 PM,0.297,0.296,,"DEMAREST, DUSTIN J"
149606,12/3/16,AMES POLICE DEPARTMENT,M,7:30 PM,0.215,0.215,,"BARNEY, JOHN E"
100199,12/3/16,STORY COUNTY SHERIFF'S OFFICE,M,5:48 PM,0.176,0.175,,"SINK, BRETT R"
149606,12/3/16,AMES PD,F,5:02 PM,0,0,,"HAUGE, RYAN"
100212,12/3/16,HUXLEY PD,M,4:25 PM,0.092,0.091,,"SONNENFELT, T"
100203,12/3/16,"55 ARMORY BLDG, AMES, IA",F,3:59 AM,0.089,0.088,,"GREENE, NATASHA"
100203,12/3/16,ISU DPS,M,2:22 AM,0.163,0.163,,"MEENAGH, RYAN"
100203,12/1/16,IOWA STATE UNIVERSITY DPS,F,4:21 AM,0.167,0.166,,"MOOERS, COBY"
149606,12/1/16,AMES PD,F,12:51 AM,0.154,0.153,,"EATON, JASON"
100199,11/29/16,STORY COUNTY SHERIFF'S OFFICE,M,6:11 PM,0.282,0.281,,"BARTOS, MATTHEW B"
100199,11/29/16,STORY COUNTY SHERIFF'S OFFICE,M,6:01 PM,Incomplete,,,"BARTOS, MATTHEW B"
149606,11/27/16,AMES PD,M,5:19 AM,0.13,0.13,,"THAYER, LANE"
100203,11/27/16,ISU PD,M,5:14 AM,Refused,,,"MOOERS, COBY"
100203,11/27/16,ISU - POLICE DIVISION,M,4:29 AM,0.118,0.118,,"MOOERS, COBY A"
100199,11/26/16,STORY COUNTY SHERIFF'S OFFICE,M,1:35 AM,Refused,,,"SCHULTZ, KYLE D"
149606,11/25/16,AMES P.D.,F,7:05 AM,0.065,0.065,,"UNDERWOOD, T"
100199,11/24/16,STORY COUNTY SHERIFF'S OFFICE,F,5:58 PM,0,0,,"BARTOS, MATTHEW B"
100199,11/22/16,STORY COUNTY SHERIFF'S OFFICE,M,8:48 AM,Refused,,,"SCHMITZ, JAMIE"
100203,11/20/16,ISU - POLICE DIVISION,M,2:29 AM,0.078,0.078,,"HICKS, DOUG E"
100199,11/19/16,STORY COUNTY SHERIFF'S OFFICE,M,1:49 AM,0.206,0.205,,"CIZMADIA, JOSH J"
149606,11/18/16,AMES PD,M,3:39 AM,0.097,0.097,,"MCPHERSON, BROOK"
149606,11/16/16,AMES PD,,3:21 AM,0.16,0.159,,"CHRISTENSEN, JOSEPH"
100212,11/15/16,HUXLEY POLICE DEPARTMENT,M,6:55 PM,0.226,0.226,,"CALIGIURI, GERALD J"
100212,11/15/16,HUXLEY POLICE DEPARTMENT,M,6:47 PM,Incomplete,,,"CALIGIURI, GERALD J"
100212,11/15/16,HUXLEY POLICE DEPARTMENT,M,6:40 PM,Incomplete,,,"CALIGIURI, GERALD J"
149606,11/14/16,AMES PD,,1:56 AM,0.17,0.17,,"CHRISTENSEN, JOSEPH"
100199,11/13/16,STORY COUNTY SHERIFF'S OFFICE,M,10:51 PM,0.158,0.158,,"SINK, BRETT R"
100203,11/13/16,ISU - POLICE DIVISION,M,4:06 AM,0.049,0.049,,"MOOERS, COBYY A"
149606,11/12/16,AMES PD,F,3:57 AM,0.166,0.165,,"GEIL, DARREN"
100203,11/12/16,ISU - POLICE DIVISION,F,3:15 AM,0.078,0.077,,"BELL, ALLISON M"
100203,11/12/16,ISU - POLICE DIVISION,F,2:30 AM,0.034,0.034,,"MOOERS, COBY A"
100199,11/10/16,STORY COUNTY SHERIFF'S OFFICE,F,9:46 AM,0,0,,"SCHMITZ, JAMIE"
100199,11/10/16,STORY COUNTY SHERIFF'S OFFICE,F,9:00 AM,0,0,,"SCHMITZ, JAMIE"
