InstrumentID,Date,Location,Gender,Time,Res1,Res2,Status,Officer
100203,12/29/13,ISU - POLICE DIVISION,M,3:29 AM,0.134,0.133,,"OBRYAN, PATRICK L"
100203,12/28/13,ISU - POLICE DIVISION,M,2:51 AM,0.157,0.157,,"GEIL, DARREN A"
100203,12/28/13,ISU - POLICE DIVISION,M,2:39 AM,0.108,0.108,,"OCHOA, EMORY L"
100199,12/27/13,STORY COUNTY SHERIFF'S OFFICE,M,11:22 PM,0.248,0.248,,"COMBS, DILLON C"
100199,12/26/13,STORY COUNTY SHERIFF'S OFFICE,M,7:55 PM,0.259,0.259,,"JOHNSON, DAVID M"
100203,12/26/13,ISU - POLICE DIVISION,F,6:21 AM,0.206,0.205,,"EATON, J"
100203,12/25/13,ISU - POLICE DIVISION,M,5:13 AM,0.108,0.108,,"THAYER, LANE T"
100199,12/23/13,INSTRUMENT LOCATION,M,11:09 PM,0.136,0.136,,"SWIGART, C"
100203,12/23/13,ISU - POLICE DIVISION,M,2:22 AM,0.215,0.214,,"HAUGE, RYAN D"
100203,12/22/13,ISU - POLICE DIVISION,M,3:12 AM,0.114,0.114,,"HICKS, DOUG E"
100199,12/21/13,STORY COUNTY SHERIFF'S OFFICE,F,3:58 PM,0.159,0.159,,"KESTER, AARON T"
100203,12/21/13,ISU - POLICE DIVISION,M,3:32 AM,0.164,0.164,,"BURROWS, CHRIS"
100203,12/21/13,ISU - POLICE DIVISION,M,3:20 AM,0.127,0.127,,"OCHOA, EMORY L"
100203,12/21/13,ISU - POLICE DIVISION,M,2:27 AM,0.151,0.15,,"THAYER, LANE T"
100203,12/21/13,ISU - POLICE DIVISION,M,1:14 AM,0.087,0.087,,"OCHOA, EMORY L"
100203,12/14/13,ISU - POLICE DIVISION,M,3:07 AM,0.173,0.173,,"JUNIOR, VINCENT C"
100203,12/13/13,ISU - POLICE DIVISION,F,2:31 AM,0.16,0.16,,"DE VRIES, RYAN J"
100203,12/13/13,ISU - POLICE DIVISION,F,2:16 AM,0.134,0.134,,"OCHOA, EMORY L"
100203,12/12/13,ISU - POLICE DIVISION,F,11:52 PM,0.211,0.21,,"THAYER, LANE T"
100203,12/12/13,ISU - POLICE DIVISION,F,2:41 AM,0.116,0.116,,"OCHOA, EMORY L"
100203,12/12/13,ISU - POLICE DIVISION,F,12:12 AM,0.231,0.231,,"OBRYAN, PATRICK L"
100203,12/12/13,ISU - POLICE DIVISION,F,12:00 AM,Incomplete,,,"OBRYAN, PATRICK L"
149606,12/11/13,AMES POLICE DEPARTMENT,,10:27 AM,0,0,,"BLESKACEK, JIM"
100203,12/8/13,ISU - POLICE DIVISION,M,8:03 PM,0.2,0.2,,"ROPP, HEATH"
100199,12/8/13,STORY COUNTY SHERIFF'S OFFICE,M,9:11 AM,0.089,0.089,,"JOHNSON, ADRIANNE L"
100199,12/8/13,STORY COUNTY SHERIFF'S OFFICE,M,9:02 AM,Incomplete,,,"JOHNSON, ADRIANNE L"
100199,12/8/13,STORY COUNTY SHERIFF'S OFFICE,M,8:48 AM,Incomplete,,,"JOHNSON, ADRIANNE L"
100203,12/8/13,ISU - POLICE DIVISION,F,4:38 AM,0.148,0.147,,"EATON, J"
100203,12/8/13,ISU - POLICE DIVISION,M,4:09 AM,0.106,0.106,,"OCHOA, EMORY L"
100203,12/8/13,ISU - POLICE DIVISION,M,2:04 AM,0.07,0.07,,"OCHOA, EMORY L"
100203,12/8/13,ISU - POLICE DIVISION,M,1:26 AM,0.121,0.12,,"VARNER, KEITH D"
