InstrumentID,Date,Location,Gender,Time,Res1,Res2,Status,Officer
100199,12/28/17,STORY CO SO,M,1:38 AM,0.134,0.133,,"HOCHBERGER, NICK"
100199,12/23/17,STORY CO SO,M,9:30 PM,Refused,,,"SLICE, THOMAS"
100199,12/23/17,STORY COUNTY SHERIFF'S OFFICE,M,4:21 AM,0.181,0.18,,"MEENAGH, RYAN J"
100199,12/22/17,STORY CO SO,F,9:16 PM,0.066,0.066,,"MASSARO, MATTHEW"
100199,12/20/17,STORY COUNTY SHERIFF'S OFFICE,M,9:44 PM,0.23,0.229,,"BARTOS, MATTHEW B"
100199,12/20/17,STORY COUNTY SHERIFF'S OFFICE,M,5:25 PM,0.072,0.072,,"SCHAFFER, JEREMY J"
100199,12/17/17,STORY COUNTY SHERIFF'S OFFICE,M,8:14 AM,0.17,0.169,,"COMBS, DILLON C"
100199,12/17/17,STORY COUNTY SHERIFF'S OFFICE,M,3:21 AM,0.13,0.13,,"HOCHBERGER, NICHOLAS J"
149606,12/17/17,AMES PD,M,1:46 AM,0.046,0.046,,"MEENAGH, RYAN"
100199,12/15/17,STORY CITY POLICE DEPT.,M,8:51 PM,0.181,0.18,,"WILSON, GABRIEL S"
100203,12/14/17,ISU - POLICE DIVISION,F,3:30 AM,0.121,0.12,,"MOOERS, COBY A"
100199,12/10/17,STORY COUNTY SHERIFF'S OFFICE,M,4:25 PM,0.194,0.193,,"NAVRATIL, JOEL D"
100199,12/10/17,STORY COUNTY SHERIFF'S OFFICE,M,8:04 AM,Refused,,,"GRUIS, N"
100203,12/10/17,ISU - POLICE DIVISION,F,5:04 AM,0.068,0.067,,"MEENAGH, RYAN J"
100212,12/10/17,HUXLEY POLICE DEPARTMENT,F,4:29 AM,0.142,0.142,,"ALBAUGH, NATHAN S"
100203,12/10/17,ISU POLICE,F,3:13 AM,0.077,0.077,,"BURROWS, CHRIS"
100203,12/9/17,ISU PD,M,2:35 AM,0.085,0.084,,"MOOERS, COBY"
149606,12/9/17,AMES PD,M,1:23 AM,0.16,0.161,,"FISCHER, TYLER"
149606,12/7/17,AMES PD,M,3:23 AM,0.131,0.131,,"KLARIC, ANDREJ"
100203,12/4/17,"ARMORY BLDG, AMES, IA",M,1:46 AM,0,0,,"GREENE, NATASHA"
149606,12/3/17,AMES PD,M,1:14 AM,0.091,0.09,,"SHELTON, TOM"
149606,12/3/17,AMES PD,M,12:56 AM,0.095,0.095,,"SHELTON, TOM"
100199,12/2/17,STORY COUNTY SHERIFF'S OFFICE,M,7:31 PM,Refused,,,"SLICE, THOMAS D"
100199,12/2/17,STORY CO SO,M,1:56 AM,0.031,0.031,,"SCHMITZ, JAMIE"
149606,12/2/17,AMES PD,M,1:26 AM,0.155,0.155,,"FISCHER, TYLER"
100203,11/29/17,"ARMORY BLDG, AMES, IA",F,3:53 AM,0.171,0.171,,"GREENE, NATASHA"
100199,11/26/17,STORY COUNTY SHERIFF'S OFFICE,F,3:45 AM,0.102,0.102,,"SEYMOUR, SEAN A"
100203,11/21/17,ISU PD,F,3:02 AM,0.05,0.051,,"MOOERS, COBY"
100199,11/19/17,STORY COUNTY SHERIFF'S OFFICE,M,8:24 PM,0.218,0.218,,"SINK, BRETT R"
149606,11/19/17,AMES POLICE DEPARTMENT,M,5:09 PM,Interference,,Interference Detected,"GODAR, LOGAN M"
149606,11/19/17,AMES POLICE DEPARTMENT,M,5:04 PM,Interference,,Interference Detected,"GODAR, LOGAN M"
100199,11/17/17,STORY COUNTY SHERIFF'S OFFICE,M,8:26 PM,0.165,0.165,,"CIZMADIA, JOSH J"
100199,11/17/17,STORY CO SO,M,7:24 PM,0.181,0.18,,"MASSARO, MATTHEW"
100203,11/17/17,ISU PD,M,6:22 PM,0.176,0.176,,"BOOR, KAITLYN"
149606,11/11/17,AMES PD,M,3:31 AM,0.072,0.072,,"MCPHERSON, BROOK"
100203,11/11/17,ISU - POLICE DIVISION,M,2:50 AM,0.094,0.093,,"BELL, ALLISON M"
100203,11/11/17,ISU DPS,F,2:33 AM,0.106,0.106,,"MEENAGH, RYAN"
100212,11/10/17,HUXLEY POLICE DEPARTMENT,M,9:02 PM,0.115,0.114,,"HOFFMAN, ALEX J"
100203,11/10/17,ISU PD,M,3:03 AM,0.145,0.144,,"OBERENDER, KAMI"
149606,11/9/17,AMES PD,F,2:21 AM,0.148,0.148,,"JOHNSEN, DON"
100203,11/8/17,ISU PD,F,3:34 AM,0.11,0.11,,"MOOERS, COBY"
149606,11/6/17,AMES PD,F,7:52 PM,0,0,,"CLEWELL, SCOTT"
100203,11/5/17,ISU DPS,M,2:03 AM,0.155,0.155,,"MEENAGH, RYAN"
100203,11/5/17,ISU DPS,M,1:56 AM,,,Standard Out of Range,"MEENAGH, RYAN"
149606,11/5/17,AMES PD,M,12:17 AM,0.114,0.113,,"SHELTON, TOM"
149606,11/4/17,AMES PD,M,3:11 AM,0.107,0.107,,"KLARIC, ANDREJ"
100203,11/3/17,ISU PD,M,3:12 AM,0,0,,"MOOERS, COBY"
100199,11/2/17,STORY COUNTY SHERIFF'S OFFICE,M,4:25 PM,0.222,0.222,,"HENDERSON, ANDREW P"
149606,11/2/17,AMES POLICE DEPARTMENT,M,2:18 AM,0,0,,"SCHROEDER, TIMOTHY J"
100199,10/31/17,STORY CO SO,M,3:54 AM,0.123,0.123,,"SCHULTZ, KYLE"
149606,10/29/17,AMES POLICE DEPARTMENT,F,5:15 AM,0.164,0.164,,"CONGDON, JOEL A"
100203,10/29/17,ISU DPS,M,4:46 AM,0.101,0.101,,"MEENAGH, RYAN"
149606,10/29/17,AMES PD,M,4:17 AM,0.116,0.116,,"KLARIC, ANDREJ"
100199,10/29/17,STORY CO SO,M,3:50 AM,0.108,0.107,,"SCHROEDER, TIM"
100199,10/29/17,STORY CO SO,M,3:39 AM,Incomplete,,,"SCHROEDER, TIM"
100212,10/29/17,HUXLEY POLICE DEPARTMENT,F,3:32 AM,0.131,0.131,,"ALBAUGH, NATHAN S"
100203,10/29/17,ISU PD,F,3:05 AM,0.1,0.099,,"OBERENDER, KAMI"
149606,10/28/17,AMES PD,M,7:01 PM,0.119,0.12,,"MARSHALL, BLAKE"
100199,10/28/17,STORY COUNTY SHERIFF'S OFFICE,M,6:11 PM,0.183,0.182,,"HOVE, H M"
100203,10/28/17,ISU DPS,M,3:13 AM,0.164,0.163,,"MEENAGH, RYAN"
149606,10/28/17,AMES POLICE DEPARTMENT,M,2:57 AM,0.103,0.103,,"THAYER, LANE T"
149606,10/28/17,AMES PD,F,2:31 AM,0,0,,"YETMAR, JENNIFER"
100203,10/28/17,ISU PD,M,2:22 AM,0.134,0.134,,"OBERENDER, KAMI"
149606,10/27/17,AMES PD,M,9:12 PM,0.025,0.025,,"HAUGE, RYAN"
100199,10/27/17,STORY COUNTY SHERIFF'S OFFICE,M,3:22 AM,0.15,0.149,,"HUTTON, RYAN T"
149606,10/26/17,AMES PD,M,3:38 AM,0.136,0.136,,"HOCHBERGER, ASHLEY"
149606,10/24/17,AMES POLICE DEPARTMENT,M,6:41 PM,0.107,0.106,,"ACCOLA, DEREK G"
149606,10/24/17,AMES PD,M,3:03 PM,0,0,,"HAUGE, RYAN"
100199,10/22/17,STORY COUNTY SHERIFF'S OFFICE,M,5:24 PM,Refused,,,"SINK, BRETT R"
100203,10/22/17,ISU DPS,F,4:46 AM,0.156,0.155,,"MEENAGH, RYAN"
100199,10/22/17,STORY COUNTY SHERIFF'S OFFICE,M,3:57 AM,0.146,0.145,,"HOCHBERGER, NICHOLAS J"
100203,10/22/17,ISU PD,M,2:34 AM,0.14,0.139,,"MEENAGH, RYAN"
100199,10/22/17,STORY COUNTY SHERIFF'S OFFICE,M,1:48 AM,Refused,,,"SCHMITZ, JAMIE"
100203,10/21/17,ISU PD,M,2:44 AM,0,0,,"MOOERS, COBY"
100203,10/21/17,ISU POILCE DEPARTMENT,M,2:12 AM,0.177,0.177,,"PETERSON, DAVID R"
100203,10/20/17,ISU PD,,5:14 AM,0.053,0.053,,"MOOERS, COBY"
100203,10/20/17,ISU DPOLICE DEPARTMENT,F,2:47 AM,0.136,0.135,,"PETERSON, DAVID R"
100212,10/18/17,HUXLEY PD,M,3:16 AM,0.066,0.065,,"MARCHESANO, JOSEPH M"
100203,10/17/17,ISUPD,M,4:41 AM,0.003,0.003,,"MOOERS, COBY"
100203,10/16/17,ISU PD,M,1:25 AM,0,0,,"MOOERS, COBY"
100199,10/15/17,STORY COUNTY SHERIFF'S OFFICE,M,4:33 AM,Refused,,,"SEYMOUR, SEAN A"
149606,10/15/17,AMES PD,M,3:47 AM,0.144,0.143,,"KLARIC, ANDREJ"
100199,10/15/17,STORY CO SO,F,2:39 AM,0.177,0.176,,"HOCHBERGER, NICK"
149606,10/15/17,515 CLARK AVE.,M,2:11 AM,Incomplete,,,"CHRISTENSEN, JOSEPH"
149606,10/15/17,AMES POLICE DEPARTMENT,M,2:05 AM,0.138,0.137,,"CHRISTENSEN, JOSEPH W"
100203,10/13/17,"ARMORY, AMES IOWA",M,3:44 AM,0.138,0.138,,"GREENE, NATASHA"
149606,10/12/17,AMES POLICE DEPARTMENT,M,12:16 PM,0.169,0.168,,"GOHLMANN, TODD A"
149606,10/12/17,AMES POLICE DEPARTMENT,M,11:59 AM,Refused,,,"GOHLMANN, TODD A"
100203,10/12/17,ISU PD,F,2:56 AM,0.093,0.092,,"OBERENDER, KAMI"
149606,10/12/17,AMES PD,M,1:55 AM,0.175,0.175,,"FISCHER, TYLER"
100203,10/11/17,ISU PD,M,2:13 AM,0.074,0.072,,"MOOERS, COBY"
149606,10/10/17,AMES POLICE DEPARTMENT,M,10:53 PM,0.111,0.111,,"GODAR, LOGAN"
100199,10/9/17,STORY COUNTY SHERIFF'S OFFICE,M,2:42 AM,0.141,0.141,,"CIZMADIA, JOSH J"
149606,10/8/17,AMES POLICE DEPARTMENT,M,10:32 AM,0.041,0.04,,"HAUGE, RYAN D"
100199,10/8/17,STORY COUNTY SHERIFF'S OFFICE,M,3:43 AM,0.154,0.153,,"CIZMADIA, JOSH J"
100203,10/8/17,ISU POLICE,M,2:24 AM,0.16,0.159,,"PETERSON, DAVID R"
149606,10/7/17,AMES,M,9:08 PM,0.152,0.152,,"SHELTON, TOM"
149606,10/7/17,AMES POLICE DEPARTMENT,M,2:22 AM,0.119,0.12,,"PHANCHANTRAURAI, DILOK"
149606,10/7/17,AMES POLICE DEPARTMENT,,1:58 AM,0.199,0.198,,"KRUGER, KURT"
100199,10/6/17,STORY COUNTY SHERIFF'S OFFICE,M,11:39 PM,0.152,0.151,,"CIZMADIA, JOSH J"
100199,10/6/17,STORY CO SO,M,6:03 AM,0.182,0.182,,"SCHROEDER, TIM"
149606,10/6/17,AMES PD,F,2:16 AM,0.078,0.077,,"MCPHERSON, BROOK"
100203,10/1/17,ISU POLICE,M,7:00 AM,0.168,0.167,,"PETERSON, DAVID R"
100199,9/30/17,STORY CO SO,M,11:36 PM,0.101,0.1,,"SLICE, THOMAS"
100203,9/30/17,"IOWA STATE UNIVERSITY, ARMORY BUILD",M,5:03 AM,0.101,0.1,,"GREENE, NATASHA"
100203,9/30/17,"IOWA STATE UNIVERSITY, ARMORY BUILD",M,4:47 AM,Incomplete,,,"GREENE, NATASHA"
100203,9/30/17,ISU PD,F,3:09 AM,0.141,0.141,,"OBERENDER, KAMI"
100199,9/29/17,STORY CO SO,M,2:21 AM,0.145,0.144,,"SCHULTZ, KYLE"
100203,9/29/17,ISU - POLICE DIVISION,F,12:08 AM,0.144,0.145,,"CIZMADIA, JOSH J"
100212,9/28/17,HUXLEY PD,M,3:36 AM,0.136,0.136,,"MARCHESANO, JOSEPH M"
100199,9/26/17,STORY COUNTY SHERIFF'S OFFICE,M,9:47 PM,0.208,0.207,,"GRUIS, NATHAN P"
100199,9/26/17,STORY COUNTY SHERIFF'S OFFICE,M,9:32 PM,Incomplete,,,"GRUIS, NATHAN P"
100203,9/22/17,ISU PD,F,2:06 AM,0.181,0.181,,"MOOERS, COBY"
149606,9/22/17,AMES PD,M,1:28 AM,0.098,0.097,,"HANSEN, ELIJAH"
100203,9/21/17,ISU PD,M,3:15 AM,0.109,0.108,,"MOOERS, COBY"
100203,9/17/17,ISU PD,M,2:31 AM,0.184,0.183,,"OBERENDER, KAMI"
149606,9/16/17,AMES PD,M,3:44 AM,0.154,0.153,,"MCPHERSON, BROOK"
100203,9/16/17,ISU DPS,M,2:32 AM,0.147,0.146,,"MEENAGH, RYAN"
149606,9/10/17,AMES PD,M,3:46 AM,0.18,0.179,,"JOHNSEN, DON"
149606,9/10/17,AMES PD,M,2:15 AM,0.036,0.036,,"JOHNSEN, DON"
100203,9/10/17,ISU DPS,M,1:20 AM,0.092,0.091,,"MEENAGH, RYAN"
100203,9/9/17,ISU PD,M,5:21 PM,0.184,0.183,,"BOOR, KAITLYN"
100203,9/9/17,ISU - POLICE DIVISION,M,4:30 PM,Refused,,,"CIZMADIA, JOSH J"
100199,9/9/17,STORY COUNTY SHERIFF'S OFFICE,M,3:29 PM,0.149,0.149,,"GRUIS, NATHAN P"
100212,9/8/17,HUXLEY PD,M,2:10 AM,0.14,0.139,,"MARCHESANO, JOSEPH M"
100199,9/6/17,STORY COUNTY SHERIFF'S OFFICE,,2:42 PM,0.258,0.257,,"LONG, JOE"
100203,9/6/17,ISU DPS,M,3:10 AM,0.107,0.106,,"MEENAGH, RYAN"
149606,9/4/17,AMES PD,F,3:31 AM,0.136,0.136,,"GEIL, DARREN"
100199,9/3/17,STORY COUNTY SHERIFF'S OFFICE,M,5:27 AM,0.102,0.101,,"HOCHBERGER, NICHOLAS J"
149606,9/3/17,AMES PD,M,2:47 AM,0.144,0.144,,"SHELTON, TOM"
100199,9/3/17,STORY COUNTY SHERIFF'S OFFICE,F,1:52 AM,0.143,0.143,,"RATZESBERGER, KYLE A"
100203,9/2/17,ISU - POLICE DIVISION,M,9:53 PM,0.209,0.209,,"SPRINGER, KELLI J"
100203,9/2/17,ISU PD,M,8:46 PM,0.167,0.168,,"EDWARDS, CASSIE"
100199,9/2/17,STORY CO SO,F,4:11 AM,0.121,0.121,,"SCHULTZ, KYLE"
100203,9/2/17,ISU - POLICE DIVISION,M,3:42 AM,0.118,0.117,,"BELL, ALLISON M"
149606,9/2/17,AMES PD,M,1:22 AM,0.234,0.233,,"SHELTON, TOM"
100199,9/2/17,STORY COUNTY JAIL,M,12:04 AM,0.147,0.146,,"FISCHELS, A"
149606,9/1/17,AMES POLICE DEPARTMENT,M,8:25 PM,0.306,0.306,,"PHANCHANTRAURAI, DILOK"
100203,9/1/17,IOWA STATE UNIVERSITY,M,3:11 AM,0.126,0.125,,"GREENE, NATASHA"
100199,9/1/17,STORY COUNTY SHERIFF'S OFFICE,M,3:05 AM,Refused,,,"LUKE, ADAM J"
100212,9/1/17,HUXLEY POLICE DEPT.,M,12:09 AM,0.062,0.062,,"FISCHELS, A"
100199,8/30/17,STORY COUNTY SHERIFF'S OFFICE,M,2:05 AM,Refused,,,"SCHMITZ, JAMIE R"
100199,8/27/17,STORY COUNTY SHERIFF'S OFFICE,M,9:15 PM,0.127,0.126,,"DEMAREST, DUSTIN J"
149606,8/27/17,AMES PD,M,5:03 PM,Incomplete,,,"CHRISTENSEN, JOSEPH"
149606,8/27/17,AMES PD,M,3:23 AM,0.224,0.223,,"EATON, JASON"
100203,8/27/17,ISU PD,M,3:02 AM,0,0,,"MOOERS, COBY"
100199,8/26/17,STORY COUNTY SHERIFF'S OFFICE,M,6:57 PM,0.056,0.056,,"SPRINGER, KELLI J"
100199,8/26/17,STORY COUNTY SHERIFF'S OFFICE,F,1:23 AM,0.15,0.15,,"HOCHBERGER, NICHOLAS J"
100203,8/25/17,ISU - POLICE DIVISION,F,1:55 AM,0.146,0.146,,"HICKS, DOUG E"
100203,8/24/17,IOWA STATE UNIVERSITY,F,3:06 AM,0.133,0.132,,"GREENE, NATASHA"
149606,8/24/17,AMES PD,M,2:11 AM,0.131,0.13,,"GEIL, DARREN"
100203,8/24/17,ISU PD,F,2:05 AM,0.191,0.19,,"MOOERS, COBY"
149606,8/20/17,AMES POLICE DEPARTMENT,M,3:44 AM,0.146,0.144,,"CONGDON, JOEL"
